Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
Adaboost,0.7494360832585991,0.6885248992073806,0.1849918908902057,0.7398759401194209,0.8355880835216111,0.7518306974888762,9.846409166018168,1.0103227510294497
LightGBM,0.803379963655195,0.7366532860380464,0.17715118013326794,0.7879728015870906,0.8614436410617001,0.8086891754789027,8.232984378496806,0.2521370471087696
Provably Robust Boosting,0.6701219129870727,0.5693963629545518,0.284508336885955,0.6752736358206292,0.719514852953294,0.7106427817403257,1127.3416930804253,0.7738926647447099
XBART,0.6193974971057644,0.5630152940900598,0.19748291067263468,0.6054344544649207,0.7571502084676693,0.6837287659979735,130.0712534708977,0.19168557569572137
