Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
analcatdata_asbestos,Provably Robust Boosting,6,0.75
analcatdata_asbestos,XBART,6,0.8125
analcatdata_asbestos,Adaboost,7,1.0
analcatdata_asbestos,LightGBM,7,0.9333333333333332
analcatdata_asbestos,Provably Robust Boosting,7,1.0
analcatdata_asbestos,XBART,7,1.0
analcatdata_asbestos,Adaboost,8,0.6666666666666666
analcatdata_asbestos,LightGBM,8,0.8333333333333333
analcatdata_asbestos,Provably Robust Boosting,8,0.7
analcatdata_asbestos,XBART,8,0.7333333333333333
analcatdata_asbestos,Adaboost,9,0.7666666666666666
analcatdata_asbestos,LightGBM,9,0.8333333333333334
analcatdata_asbestos,Provably Robust Boosting,9,0.6666666666666665
analcatdata_asbestos,XBART,9,0.7333333333333333
analcatdata_boxing1,Adaboost,0,0.9375
analcatdata_boxing1,LightGBM,0,0.640625
analcatdata_boxing1,Provably Robust Boosting,0,0.625
analcatdata_boxing1,XBART,0,0.9375
analcatdata_boxing1,Adaboost,1,0.78125
analcatdata_boxing1,LightGBM,1,0.421875
analcatdata_boxing1,Provably Robust Boosting,1,0.453125
analcatdata_boxing1,XBART,1,0.59375
analcatdata_boxing1,Adaboost,2,0.890625
analcatdata_boxing1,LightGBM,2,0.453125
analcatdata_boxing1,Provably Robust Boosting,2,0.5
analcatdata_boxing1,XBART,2,0.71875
analcatdata_boxing1,Adaboost,3,1.0
analcatdata_boxing1,LightGBM,3,0.796875
analcatdata_boxing1,Provably Robust Boosting,3,0.71875
analcatdata_boxing1,XBART,3,1.0
analcatdata_boxing1,Adaboost,4,1.0
analcatdata_boxing1,LightGBM,4,0.75
analcatdata_boxing1,Provably Robust Boosting,4,0.65625
analcatdata_boxing1,XBART,4,0.9375
analcatdata_boxing1,Adaboost,5,0.890625
analcatdata_boxing1,LightGBM,5,0.390625
analcatdata_boxing1,Provably Robust Boosting,5,0.78125
analcatdata_boxing1,XBART,5,0.90625
analcatdata_boxing1,Adaboost,6,0.9375
analcatdata_boxing1,LightGBM,6,0.625
analcatdata_boxing1,Provably Robust Boosting,6,0.65625
analcatdata_boxing1,XBART,6,0.8125
analcatdata_boxing1,Adaboost,7,0.765625
analcatdata_boxing1,LightGBM,7,0.796875
analcatdata_boxing1,Provably Robust Boosting,7,0.71875
analcatdata_boxing1,XBART,7,0.90625
analcatdata_boxing1,Adaboost,8,0.8571428571428571
analcatdata_boxing1,LightGBM,8,0.5
analcatdata_boxing1,Provably Robust Boosting,8,0.4142857142857143
analcatdata_boxing1,XBART,8,0.8571428571428572
analcatdata_boxing1,Adaboost,9,0.8857142857142857
analcatdata_boxing1,LightGBM,9,0.8285714285714285
analcatdata_boxing1,Provably Robust Boosting,9,0.5857142857142857
analcatdata_boxing1,XBART,9,0.6857142857142857
analcatdata_broadwaymult,Adaboost,0,0.7229407629407629
analcatdata_broadwaymult,LightGBM,0,0.8060613460613462
analcatdata_broadwaymult,Provably Robust Boosting,0,0.5800368150368149
analcatdata_broadwaymult,XBART,0,0.4763939763939764
analcatdata_broadwaymult,Adaboost,1,0.7595648795648796
analcatdata_broadwaymult,LightGBM,1,0.7525755725755727
analcatdata_broadwaymult,Provably Robust Boosting,1,0.6453590853590853
analcatdata_broadwaymult,XBART,1,0.5
analcatdata_broadwaymult,Adaboost,2,0.6851212621800856
analcatdata_broadwaymult,LightGBM,2,0.7558778041130984
analcatdata_broadwaymult,Provably Robust Boosting,2,0.5243069022480787
analcatdata_broadwaymult,XBART,2,0.491620579855874
analcatdata_broadwaymult,Adaboost,3,0.5917157461275109
analcatdata_broadwaymult,LightGBM,3,0.6832040508511097
analcatdata_broadwaymult,Provably Robust Boosting,3,0.5581412052000286
analcatdata_broadwaymult,XBART,3,0.4771062271062271
analcatdata_broadwaymult,Adaboost,4,0.6655234743470038
analcatdata_broadwaymult,LightGBM,4,0.828622902152314
analcatdata_broadwaymult,Provably Robust Boosting,4,0.7019978931743639
analcatdata_broadwaymult,XBART,4,0.5114678349972468
analcatdata_broadwaymult,Adaboost,5,0.7058905677655678
analcatdata_broadwaymult,LightGBM,5,0.7778113553113553
analcatdata_broadwaymult,Provably Robust Boosting,5,0.6013610347985348
analcatdata_broadwaymult,XBART,5,0.5
analcatdata_broadwaymult,Adaboost,6,0.6619081959706961
analcatdata_broadwaymult,LightGBM,6,0.7122161172161173
analcatdata_broadwaymult,Provably Robust Boosting,6,0.5790064102564102
analcatdata_broadwaymult,XBART,6,0.5
